,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
0,20011236,2024-6-3,0xa1057899dbe0890bbe6b4b6836fef4cc1fdac0b3,700000000.0,10.01,10.01,38148.20808813914,2.647073856166464,1,700000000.0,10.01,0x8115def7d6ab9ab41ef618febcccf26ee9a54e8b,PEPEWIF,PEPEWIF,700000000.0,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x8115def7d6ab9ab41ef618febcccf26ee9a54e8b,PEPEWIF,PEPEWIF,700000000.0,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
1,20011221,2024-6-3,0xae9372c042320e9dc6291ec301a7d77988141e08,1.5e-15,6.51e-07,1.5e-15,5.8689e-12,0.0,25,6.51e-07,1.5e-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xc63d2c6d2a2eec2f0e6190d632e35af836887488,Punch,PUNCH ,6.51e-07,25,0xc63d2c6d2a2eec2f0e6190d632e35af836887488,Punch,PUNCH ,6.51e-07,25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
2,20011185,2024-6-3,0x7f5bfa55f183e540a16adc24dcb0108add3a80bc,6.959207873455183,68539701939.54744,13.918415746910364,53036.97840220575,21.77950757019084,92,68539701939.54744,6.959207873455183,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xc0d24067443bfc8215463c19ddfd03e1c9f89dce,Wall Street Pepe,WSP,68539701939.54744,92,0xc0d24067443bfc8215463c19ddfd03e1c9f89dce,Wall Street Pepe,WSP,68539701939.54744,92,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
3,20011172,2024-6-3,0x41b0187b816d8232cafc6a7cbb20dad8a9f97660,6.505718894673287,3900120176.4820576,13.011437789346571,49584.719089176935,4.9717793595452315,280,3900120176.4820576,6.505718894673287,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xdda2b124d02e7052219c9b5fc32e7b3e43ab817b,Elected Trump Fans,ETF,3900120176.4820576,280,0xdda2b124d02e7052219c9b5fc32e7b3e43ab817b,Elected Trump Fans,ETF,3900120176.4820576,280,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
4,20011170,2024-6-3,0xf3c8a1f9a3bcf2e3194337f965dede33f56206b4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0x3c33096e31d39e7169abbc181c716f910b9998af,Next24 AI,N24AI,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x3c33096e31d39e7169abbc181c716f910b9998af,Next24 AI,N24AI,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
5,20011157,2024-6-3,0x45f978b09840400920d28354fe4a608d33e03c2a,195501634923.30325,2.160607908778444,4.321215817556888,16467.58370726447,20.510728899773405,45,195501634923.30325,2.160607908778444,0xad5d6ef4ccd4b00a35a1c986f19c05b19bb13693,YEP,YEP,195501634923.30325,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xad5d6ef4ccd4b00a35a1c986f19c05b19bb13693,YEP,YEP,195501634923.30325,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
6,20011140,2024-6-3,0xd84b2c4477badee669dfc64cfb828c71be4e1924,1000000000.0,1.0000593203503785,1.0000593203503785,3812.400174748894,31622.776601683796,3,1000000000.0,1.0000593203503785,0x50e00438d51573f4da90f33216a5b1d2190e6b14,TrumpStop,TME,1000000000.0,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x50e00438d51573f4da90f33216a5b1d2190e6b14,TrumpStop,TME,1000000000.0,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
7,20011056,2024-6-3,0xb099167dfbd7a4f5440664c5eb872c5d4263defa,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0xb9071aa3709635595ec9742e4c9cbb30c45e68a9,PenTa Ai,PTAI,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xb9071aa3709635595ec9742e4c9cbb30c45e68a9,PenTa Ai,PTAI,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
8,20011052,2024-6-3,0x159b5f55d55d77d6a761496b3a69bf8f0072042c,1e-15,9.77e-07,2e-15,7.824e-12,0.0,20,9.77e-07,1e-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xf15c5115efac1609860526a6a7aa15313aaf7e8d,MOGA,MOGA,9.77e-07,20,0xf15c5115efac1609860526a6a7aa15313aaf7e8d,MOGA,MOGA,9.77e-07,20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
9,20011013,2024-6-3,0x64f2d1d28961855a02d534b09427a24b085d39cb,894462831.5326295,22.367329466090915,44.73465893218183,170465.5543285524,4.472135954999578,42,894462831.5326295,22.367329466090915,0x35d442720a40b276ea8032542edc8c9b4e318949,RONELDO@ERC7660,RONELDO,894462831.5326295,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x35d442720a40b276ea8032542edc8c9b4e318949,RONELDO@ERC7660,RONELDO,894462831.5326295,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
