createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
19613397,2024-4-8,0xfb8767d490c00fd7faf867a783c49bc0e42e2a00,1.539e-06,6e-16,1.3e-15,4.5445e-12,0.0,26,1.539e-06,6e-16,0x6906e507725514adf4497f9a0ae4923dabb29d40,Hobbes_ETH,Hobbes,1.539e-06,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x6906e507725514adf4497f9a0ae4923dabb29d40,Hobbes_ETH,Hobbes,1.539e-06,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613321,2024-4-8,0xbe292a1e797a6bd47fd6e08a931819c281aa73a7,1.769800761000002e+24,3e-16,3e-16,1.1261e-12,0.731778655059027,5,1.769800761000002e+24,3e-16,0x5bf8d2aeda8ece0373c4f0c5b28633df3a5ab834,AI Nexus,AIN,1.769800761000002e+24,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x5bf8d2aeda8ece0373c4f0c5b28633df3a5ab834,AI Nexus,AIN,1.769800761000002e+24,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613302,2024-4-8,0xcea4e1e691467518f06e4cc693dc1ceb74b31865,7.066054e-10,0.0,0.0,3.7e-15,0.0,3,7.066054e-10,0.0,0x329cc9467388d559d26f94f37fd7cc6777355479,Anita Moon,MOON,7.066054e-10,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x329cc9467388d559d26f94f37fd7cc6777355479,Anita Moon,MOON,7.066054e-10,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613282,2024-4-8,0xa049242d673bb4ee2bb27b90ed696057d3ec7427,0.0,7.6938e-12,0.0,6.9e-15,0.0,82,7.6938e-12,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0xd1d906634b4f7fb84911bbe45a24e81e89a07403,Test,TST,7.6938e-12,82,0xd1d906634b4f7fb84911bbe45a24e81e89a07403,Test,TST,7.6938e-12,82,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613187,2024-4-8,0x4bc441902e4e3eca8b10e97dd79ee8830b0a3e60,7.7169e-12,0.0,0.0,7.3e-15,0.0,49,7.7169e-12,0.0,0x6d02ccf7633cbb178f94c0b042c4b1607dae9352,Ordinals Inscription Index,ORDINALS,7.7169e-12,49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x6d02ccf7633cbb178f94c0b042c4b1607dae9352,Ordinals Inscription Index,ORDINALS,7.7169e-12,49,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613170,2024-4-8,0xba3d5a3d17d70db81ce521b25a9a3a8069cdaa3c,2.02e-07,4.9e-15,9.9e-15,3.50026e-11,0.0,94,2.02e-07,4.9e-15,0x0574760663d7b0077868e0568980e6f76928ff76,Tao.Pink,TAOPINK,2.02e-07,94,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x0574760663d7b0077868e0568980e6f76928ff76,Tao.Pink,TAOPINK,2.02e-07,94,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613095,2024-4-8,0x01d37af3bb894cc16074459cd33f9797ea2ebb85,6.400000308363753e+18,5.2769325e-08,5.2769325e-08,0.000194564538416,18.34535363518512,9,6.400000308363753e+18,5.2769325e-08,0x4b193cadc1929741f918a7c469ce9d6e03c0c1d2,𝕏Eclipse,𝕏Eclipse,6.400000308363753e+18,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x4b193cadc1929741f918a7c469ce9d6e03c0c1d2,𝕏Eclipse,𝕏Eclipse,6.400000308363753e+18,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19613079,2024-4-8,0x8350d63bb5955980cc82ce19f32259dc326b90bc,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0x5dbc5df1bbb9e4b101dbbbb2b4a021b8c3bba8d1,Moonbrah,MOONBRAH,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x5dbc5df1bbb9e4b101dbbbb2b4a021b8c3bba8d1,Moonbrah,MOONBRAH,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612979,2024-4-8,0x440060e99e3e5bb0f9e532ffb319a5beaf5da053,1.873e-06,5e-16,1e-15,3.9572e-12,0.0,34,1.873e-06,5e-16,0x4e3658f9722aa40c07b24195d6e7b3c72d245979,Masa Network AI,NeteorkAI,1.873e-06,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x4e3658f9722aa40c07b24195d6e7b3c72d245979,Masa Network AI,NeteorkAI,1.873e-06,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612946,2024-4-8,0xbf1b66f6d7ea6a1a2f7a251968fa1c6b5c120e30,2.9e-07,3.5e-14,7.01e-14,2.593078e-10,0.0,26,2.9e-07,3.5e-14,0x592fad10e9f6ad6df0c300f2f5294d02383ec353,TAO Minting System,MinTAO,2.9e-07,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x592fad10e9f6ad6df0c300f2f5294d02383ec353,TAO Minting System,MinTAO,2.9e-07,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612885,2024-4-8,0x41e296f02b6b570d75ffb6e01c29481aa723cc26,0.0,108027.99193630728,0.0,3.5e-15,0.0,98,108027.99193630728,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0xf680b83580885c934bea1fc51fda133bb6c177cd,TheIndifferentDuck,DUCK,108027.99193630728,98,0xf680b83580885c934bea1fc51fda133bb6c177cd,TheIndifferentDuck,DUCK,108027.99193630728,98,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612878,2024-4-8,0x82015b9f285b96c63db595a9dc6078167f610aee,1e+24,2e-16,4e-16,1.5087e-12,0.4472135954999569,150,1e+24,2e-16,0x8be3cf7e7553946d468c6ea9e79d8ccabda98966,IO.NET AI DePIN GPU Network,NETAI,1e+24,150,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x8be3cf7e7553946d468c6ea9e79d8ccabda98966,IO.NET AI DePIN GPU Network,NETAI,1e+24,150,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612834,2024-4-8,0x38d18c1ec6614d6ec03e8c3640189b97cc8626bf,3.25e-07,3e-15,3e-15,1.14204e-11,0.0,2,3.25e-07,3e-15,0xb54c3b8b439160675d0127f9fb3ec9c647e93ad1,Bring The Sun To The Dark,DARK SUN,3.25e-07,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0xb54c3b8b439160675d0127f9fb3ec9c647e93ad1,Bring The Sun To The Dark,DARK SUN,3.25e-07,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612814,2024-4-8,0xf14299caed51667c99abb35d270c7bccbfe0fd5a,1.68e-07,5.9e-15,1.19e-14,4.19593e-11,0.0,45,1.68e-07,5.9e-15,0x77bd92f270fc042fa24550220e31c8578b2e879e,Propy AI,PROAI,1.68e-07,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x77bd92f270fc042fa24550220e31c8578b2e879e,Propy AI,PROAI,1.68e-07,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612753,2024-4-8,0x28b80d748ba4c94a8dd23789756e50be67006111,7.453559e-10,0.0,0.0,3.7e-15,0.0,2,7.453559e-10,0.0,0x46b14d4ee75a6c7a1baa62bdb82ec4a1269efa34,Anita Moon,MOON,7.453559e-10,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0x46b14d4ee75a6c7a1baa62bdb82ec4a1269efa34,Anita Moon,MOON,7.453559e-10,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
19612731,2024-4-8,0xbcb61dae0a0619e63a97b27bca14c263e4d2cea2,60771989.7184293,1.8161731016809368,3.6323462033618745,13313.27634808937,0.324499614791758,729,60771989.7184293,1.8161731016809368,0xa333486f4e3fd609abdd45698f5cc4e7f556886d,SpeechAI,SPXAI,60771989.7184293,729,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451,0xa333486f4e3fd609abdd45698f5cc4e7f556886d,SpeechAI,SPXAI,60771989.7184293,729,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294795.4828665269,168239451
